gene	drug	regulatory approval	indication	interaction score
BRAF	SONOLISIB	Not Approved	""	0.02900211031049196
BRAF	HYDROXYCHLOROQUINE	Approved	antirheumatic agent	0.02900211031049196
BRAF	RAF INHIBITOR BDTX-4933	Not Approved	""	0.2610189927944277
BRAF	OSIMERTINIB	Approved	""	0.05593264131309165
BRAF	FLUOROURACIL	Approved	""	0.01350098238591867
BRAF	RAF INHIBITOR DCC-3084	Not Approved	""	0.2610189927944277
BRAF	OBATOCLAX	Not Approved	antineoplastic agent	0.06525474819860692
BRAF	CI-1040	Not Approved	""	0.06141623359868886
BRAF	PF-07799933	Not Approved	""	0.2610189927944277
BRAF	ERK INHIBITOR CC-90003	Not Approved	""	0.1305094963972138
BRAF	LY3009120	Not Approved	""	0.2349170935149848
BRAF	BI-2536	Not Approved	""	0.07457685508412219
BRAF	LAPATINIB	Approved	antineoplastic agent	0.025259902528493
BRAF	PAC-1	Not Approved	""	0.1740126618629517
BRAF	SAPITINIB	Not Approved	""	0.07457685508412219
BRAF	ERK1/2 INHIBITOR ERAS-007	Not Approved	""	0.1740126618629517
BRAF	BMS-908662	Not Approved	""	0.2610189927944277
BRAF	MITOGEN-ACTIVATED PROTEIN KINASE KINASE INHIBITOR	Not Approved	""	0.04350316546573794
BRAF	IRINOTECAN HYDROCHLORIDE	Approved	antineoplastic agent	0.04143158615784566
BRAF	PLIXORAFENIB	Not Approved	""	0.2610189927944277
BRAF	GILTERITINIB	Approved	""	0.02900211031049196
BRAF	BRAF(V600E) KINASE INHIBITOR ABM-1310	Not Approved	""	0.2610189927944277
BRAF	REFAMETINIB	Not Approved	antineoplastic agent	0.04745799868989594
BRAF	BOSUTINIB	Approved	antineoplastic agent	0.02269730372125458
BRAF	RUCAPARIB	Approved	""	0.02175158273286897
BRAF	DACTOLISIB	Not Approved	""	0.02175158273286897
BRAF	ERLOTINIB	Approved	antineoplastic agent	0.03262737409930346
BRAF	MEK INHIBITOR IMM-1-104	Not Approved	""	0.1305094963972138
BRAF	TAK-632	Not Approved	""	0.1450105515524598
BRAF	NAPORAFENIB	Not Approved	""	0.1631368704965173
BRAF	LIFIRAFENIB	Not Approved	""	1.174585467574924
BRAF	TIPIFARNIB	Not Approved	antineoplastic agent	0.05800422062098392
BRAF	PANOBINOSTAT	Approved	antineoplastic agent	0.02447053057447759
BRAF	CCT196969	Not Approved	""	0.2175158273286897
BRAF	SAPANISERTIB	Approved	antineoplastic agent	0.02269730372125458
BRAF	LUVOMETINIB	Not Approved	""	0.1305094963972138
BRAF	SHP2 INHIBITOR PF-07284892	Not Approved	""	0.1740126618629517
BRAF	SELUMETINIB	Approved	""	0.2293803270011637
BRAF	TIVOZANIB	Approved	antineoplastic agent	0.05800422062098392
BRAF	PICTILISIB	Not Approved	""	0.03163866579326396
BRAF	CAPECITABINE	Approved	""	0.01535405839967221
BRAF	FICERAFUSP ALFA	Not Approved	""	0.5220379855888554
BRAF	B-RAF/VEGFR-2 INHIBITOR RAF265	Not Approved	""	0.2175158273286897
BRAF	AZD1208	Not Approved	""	0.08700633093147589
BRAF	SAR260301	Not Approved	""	0.06525474819860692
BRAF	IMATINIB	Approved	antineoplastic agent	0.007250527577622991
BRAF	VORUCICLIB	Not Approved	""	0.01740126618629518
BRAF	SY-5609	Not Approved	""	0.2610189927944277
BRAF	RIBOCICLIB	Approved	antineoplastic agent	0.04350316546573794
BRAF	BRIMARAFENIB	Not Approved	""	0.2610189927944277
BRAF	SPARTALIZUMAB	Not Approved	""	0.2610189927944277
BRAF	CHIR-265	Not Approved	antineoplastic agent	0.104407597117771
BRAF	GEMCITABINE	Approved	antineoplastic agent	0.005674325930313646
BRAF	TW-37	Not Approved	""	0.5220379855888554
BRAF	IPILIMUMAB	Approved	antineoplastic agent	0.05220379855888554
BRAF	NST-628	Not Approved	""	0.104407597117771
BRAF	DUAL IGF-1R/INSR INHIBITOR BMS-754807	Not Approved	""	0.08700633093147589
BRAF	TORIPALIMAB-TPZI	Approved	""	0.1305094963972138
BRAF	CELECOXIB	Approved	NSAID	0.007791611725206797
BRAF	PANITUMUMAB	Approved	antineoplastic agent	1.305094963972138
BRAF	AXITINIB	Approved	antineoplastic agent	0.02485895169470739
BRAF	ZSTK474	Not Approved	""	0.04745799868989594
BRAF	CEDIRANIB	Not Approved	antineoplastic agent	0.009322106885515274
BRAF	TAK-733	Not Approved	""	0.2088151942355421
BRAF	ENCORAFENIB	Approved	""	1.537111846456074
BRAF	RG-7256	Not Approved	""	0.5220379855888554
BRAF	VENETOCLAX	Approved	""	0.03559349901742196
TGFBR1	4-(3-PYRIDIN-2-YL-1H-PYRAZOL-4-YL)QUINOLINE	Not Approved	""	2.983074203364887
TGFBR1	VACTOSERTIB	Not Approved	""	7.457685508412219
TGFBR1	LY-2382770	Not Approved	""	3.728842754206109
TGFBR1	METELIMUMAB	Not Approved	""	3.728842754206109
TGFBR1	HESPERADIN	Not Approved	""	0.1864421377103054
TGFBR1	TGFBETA INHIBITOR LY3200882	Not Approved	""	7.457685508412219
TGFBR1	GALUNISERTIB	Not Approved	""	2.485895169470739
PAH	SAPROPTERIN	Approved	for treatment of phenolketonuria (PKU),PKU-treatment	3.480253237259035
PAH	PEGVALIASE	Approved	""	8.700633093147589
PAH	SAPROPTERIN DIHYDROCHLORIDE	Not Approved	""	8.700633093147589
PAH	CARBOCYSTEINE	Approved	""	17.40126618629517
PAH	SAPROPTERIN DIHYDROCHLORIDE	Approved	""	8.700633093147589
