node_id;label;type;degree
@CHEMICAL_Zinc_Oxide;@CHEMICAL_Zinc_Oxide;chemical;203.0
@CHEMICAL_empagliflozin;@CHEMICAL_empagliflozin;chemical;203.0
@CHEMICAL_Denosumab;@CHEMICAL_Denosumab;chemical;202.0
@CHEMICAL_Fructose;@CHEMICAL_Fructose;chemical;202.0
@CHEMICAL_Temozolomide;@CHEMICAL_Temozolomide;chemical;202.0
@CHEMICAL_naphthalene;@CHEMICAL_naphthalene;chemical;202.0
@CHEMICAL_Butyrates;@CHEMICAL_Butyrates;chemical;201.0
@CHEMICAL_Butyric_Acid;@CHEMICAL_Butyric_Acid;chemical;201.0
@CHEMICAL_Phenytoin;@CHEMICAL_Phenytoin;chemical;201.0
@CHEMICAL_Threonine;@CHEMICAL_Threonine;chemical;201.0
@CHEMICAL_Aluminum;@CHEMICAL_Aluminum;chemical;198.0
@CHEMICAL_Palmitic_Acid;@CHEMICAL_Palmitic_Acid;chemical;198.0
@CHEMICAL_furan;@CHEMICAL_furan;chemical;198.0
@CHEMICAL_phenolic_acid;@CHEMICAL_phenolic_acid;chemical;198.0
@CHEMICAL_Sorafenib;@CHEMICAL_Sorafenib;chemical;197.0
@CHEMICAL_Sulfates;@CHEMICAL_Sulfates;chemical;197.0
@CHEMICAL_Thiourea;@CHEMICAL_Thiourea;chemical;197.0
@CHEMICAL_Vitamin_A;@CHEMICAL_Vitamin_A;chemical;197.0
@CHEMICAL_sulfuric_acid;@CHEMICAL_sulfuric_acid;chemical;197.0
@CHEMICAL_Hydrogen_Sulfide;@CHEMICAL_Hydrogen_Sulfide;chemical;196.0
@CHEMICAL_Methylene_Blue;@CHEMICAL_Methylene_Blue;chemical;196.0
@CHEMICAL_Sphingolipids;@CHEMICAL_Sphingolipids;chemical;195.0
@CHEMICAL_Trichloroethylene;@CHEMICAL_Trichloroethylene;chemical;194.0
@CHEMICAL_Galactose;@CHEMICAL_Galactose;chemical;192.0
@CHEMICAL_Betaine;@CHEMICAL_Betaine;chemical;191.0
@CHEMICAL_hydroxide_ion;@CHEMICAL_hydroxide_ion;chemical;191.0
@CHEMICAL_Metronidazole;@CHEMICAL_Metronidazole;chemical;189.0
@CHEMICAL_Phenol;@CHEMICAL_Phenol;chemical;189.0
@CHEMICAL_Sunitinib;@CHEMICAL_Sunitinib;chemical;189.0
@CHEMICAL_ursodoxicoltaurine;@CHEMICAL_ursodoxicoltaurine;chemical;189.0
@CHEMICAL_Dextran_Sulfate;@CHEMICAL_Dextran_Sulfate;chemical;188.0
@CHEMICAL_Titanium;@CHEMICAL_Titanium;chemical;188.0
@CHEMICAL_p_coumaric_acid;@CHEMICAL_p_coumaric_acid;chemical;188.0
@CHEMICAL_Nitrates;@CHEMICAL_Nitrates;chemical;187.0
@CHEMICAL_Trichloroacetic_Acid;@CHEMICAL_Trichloroacetic_Acid;chemical;185.0
@CHEMICAL_salvianolic_acid_A;@CHEMICAL_salvianolic_acid_A;chemical;185.0
@CHEMICAL_Alginates;@CHEMICAL_Alginates;chemical;184.0
@CHEMICAL_Chromium;@CHEMICAL_Chromium;chemical;184.0
@CHEMICAL_Oleic_Acid;@CHEMICAL_Oleic_Acid;chemical;184.0
@CHEMICAL_Acrylamide;@CHEMICAL_Acrylamide;chemical;182.0
@CHEMICAL_Calcitriol;@CHEMICAL_Calcitriol;chemical;182.0
@CHEMICAL_Homovanillic_Acid;@CHEMICAL_Homovanillic_Acid;chemical;182.0
@CHEMICAL_Rifampin;@CHEMICAL_Rifampin;chemical;182.0
@CHEMICAL_Amines;@CHEMICAL_Amines;chemical;181.0
@CHEMICAL_Epichlorohydrin;@CHEMICAL_Epichlorohydrin;chemical;181.0
@CHEMICAL_Nitrosamines;@CHEMICAL_Nitrosamines;chemical;180.0
@CHEMICAL_Vanillic_Acid;@CHEMICAL_Vanillic_Acid;chemical;179.0
